Pool	Strand	ID	a_intercept	b_slope	Strd
pool1	forward	A1_pool1_Fwd	6.77539505390338	-1.24487652379132	Fwd
pool1	reverse	A1_pool1_Rev	6.77163139670929	-1.24675913604407	Rev
pool1	forward	C1_pool1_Fwd	6.87810085618019	-1.24152916680571	Fwd
pool1	reverse	C1_pool1_Rev	6.84839327334778	-1.23665587625688	Rev
pool1	forward	D1_pool1_Fwd	6.64211213922691	-1.25077158755504	Fwd
pool1	reverse	D1_pool1_Rev	6.57525745607196	-1.23636866874257	Rev
pool1	forward	E1_pool1_Fwd	6.2090759089749	-1.26774100791525	Fwd
pool1	reverse	E1_pool1_Rev	6.34471994005867	-1.27427820809325	Rev
pool1	forward	F1_pool1_Fwd	6.38086082007295	-1.24406297619374	Fwd
pool1	reverse	F1_pool1_Rev	6.6056552623086	-1.23944726904592	Rev
pool1	forward	H1_pool1_Fwd	6.44019208063424	-1.20588147138585	Fwd
pool1	reverse	H1_pool1_Rev	6.58829611100904	-1.21209002936623	Rev
pool2	forward	A1_pool2_Fwd	6.0419838709724	-1.06118746892847	Fwd
pool2	reverse	A1_pool2_Rev	6.02539348008713	-1.0580279991306	Rev
pool2	forward	C1_pool2_Fwd	6.05619916724679	-1.06087744688839	Fwd
pool2	reverse	C1_pool2_Rev	6.06949239107828	-1.06596190917743	Rev
pool2	forward	D1_pool2_Fwd	5.93889494828517	-1.08390040761339	Fwd
pool2	reverse	D1_pool2_Rev	5.94459596937904	-1.08569651376182	Rev
pool2	forward	E1_pool2_Fwd	5.30322010436912	-1.02785663505516	Fwd
pool2	reverse	E1_pool2_Rev	5.53096800094963	-1.0709012485235	Rev
pool2	forward	F1_pool2_Fwd	5.72718151476498	-1.03488855477948	Fwd
pool2	reverse	F1_pool2_Rev	5.90182100504285	-1.05884395354736	Rev
pool2	forward	H1_pool2_Fwd	5.67450566257855	-0.998484652921075	Fwd
pool2	reverse	H1_pool2_Rev	5.64842919544152	-0.993954411742815	Rev
pool3	forward	A1_pool3_Fwd	5.76337604973537	-1.00578283042002	Fwd
pool3	reverse	A1_pool3_Rev	5.79366951949105	-1.0151380907657	Rev
pool3	forward	C1_pool3_Fwd	5.13388150640482	-0.828831284826002	Fwd
pool3	reverse	C1_pool3_Rev	5.11734587274051	-0.828171830572323	Rev
pool3	forward	D1_pool3_Fwd	5.34333440681024	-1.02446168319392	Fwd
pool3	reverse	D1_pool3_Rev	5.54590156391435	-1.05235985480792	Rev
pool3	forward	E1_pool3_Fwd	5.31638917587397	-1.08194895687512	Fwd
pool3	reverse	E1_pool3_Rev	5.44024189666696	-1.08088547139727	Rev
pool3	forward	F1_pool3_Fwd	5.66595274160728	-1.06705518412595	Fwd
pool3	reverse	F1_pool3_Rev	5.74017322758685	-1.0630473393419	Rev
pool3	forward	H1_pool3_Fwd	4.93045442668969	-0.787220435536734	Fwd
pool3	reverse	H1_pool3_Rev	4.90092544679805	-0.78145815741737	Rev
